MofName,Label,Partition,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
ABAVIJ_clean,1.0,train,4.45543,2.4972,4.39809,1.52493,0.0,0.0,0.1043,0.0683965821381965,0.0,0.1043,0.0,0.0683964,0.0,137.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.1933333333333332,0.0,-2.0,-1.3333333333333333,-2.333333333333333,0.0,2.0,6.0,7.0,0.0,-6.600000000000001,-4.671406666666667,-7.371406666666668,0.0,0.9200000000000004,1.4800000000000002,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.126966666666667,2.0,6.0,8.0,7.333333333333333,59.0,60.0,107.33333333333331,82.66666666666667,36.98,95.67333333333332,136.63507600000003,129.96174266666665,10.9696,11.015999999999998,23.36373333333333,18.738666666666663,0.0,0.0,0.0,0.0,0.0,3.140000000000001,3.920000000000001,9.6,0.0,22.0,24.0,60.0,0.0,116.0,168.0,348.0,0.0,-8.56,-5.359999999999999,-12.88,26.0,56.0,108.0,176.0,16.803200000000004,40.51040000000003,72.61239999999998,105.39200000000002,164.0,448.0,652.0,752.0,2598.0,6408.0,9508.0,10848.0,216.73399999999992,413.58079999999984,955.7128,1458.0352,1.0,6.0,8.0,16.0,1.5876,5.5692,7.7616,13.305600000000002,36.0,84.0,144.0,216.0,729.0,1242.0,1296.0,2268.0,3.5344,37.2992,38.352,80.7648,13.0,26.0,38.0,42.0,5.7333,12.7666,17.2678,16.610999999999997,64.0,150.0,190.0,168.0,397.0,768.0,1020.0,884.0,91.2838,176.001,261.8652,273.572
ABAYIO_clean,1.0,train,11.38838,4.31822,11.37474,0.949126,1229.18,1295.07,0.5109,0.5382846956041664,0.3991,0.1118,0.420492,0.117793,1914.32,536.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.04,2.48,5.119999999999998,0.0,16.0,8.0,20.0,0.0,76.0,76.0,144.0,0.0,-9.17,-4.0,-11.56,16.0,36.0,64.0,80.0,12.459199999999996,30.7332,45.7408,55.4128,100.0,244.0,320.0,384.0,2484.0,5668.0,6624.0,7136.0,145.455,245.256,615.8415999999999,635.2959999999999,1.0,5.0,4.0,8.0,1.9321,5.434899999999999,4.281199999999999,8.340000000000002,25.0,45.0,60.0,100.0,625.0,1225.0,600.0,1400.0,2.4025000000000003,26.226000000000003,15.81,37.137999999999984,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABAYOU_clean,1.0,test,11.249,4.50635,11.249,0.979267,1267.02,1293.85,0.5178,0.5287628399609096,0.401,0.1168,0.40949,0.119273,1896.83,552.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.39,1.9600000000000009,4.079999999999999,0.0,16.0,8.0,20.0,0.0,86.0,84.0,160.0,0.0,-7.519999999999999,-2.68,-8.920000000000002,16.0,36.0,64.0,80.0,11.7702,28.7,44.13920000000001,53.8944,100.0,244.0,320.0,384.0,2692.0,6060.0,6816.0,7392.0,147.71880000000002,267.5903999999999,629.3055999999999,653.4591999999998,1.0,5.0,4.0,8.0,1.5876,4.9266000000000005,3.8808,7.560000000000001,25.0,45.0,60.0,100.0,729.0,1323.0,648.0,1512.0,3.5343999999999984,31.8096,19.17599999999999,45.0448,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABESUX_clean,1.0,train,5.87733,4.42071,5.87661,3.74291,1302.0,347.858,0.3996,0.1067618510730955,0.3996,0.0,0.106762,0.0,556.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.4,0.0,0.6510399999999998,1.23808,1.27896,0.0,4.0,6.4,2.4,0.0,96.2,192.0,153.6,0.0,147.47200000000004,212.0,67.416,0.0,10.426099999999998,12.05376,28.40064,0.0,0.0,0.0,0.0,0.0,0.0,5.168,8.256,10.072000000000005,0.0,24.8,41.6,47.2,0.0,464.8,784.0,924.0,0.0,-10.536,-15.776,-20.072,50.0,192.0,496.0,680.0,54.9416,243.7312,466.5976,668.7688000000003,952.0,4384.0,7600.0,10296.0,88488.0,235840.0,271872.0,442072.0,436.0880000000001,1016.7072000000004,4112.643200000003,5075.0936,1.0,7.2,10.4,13.6,2.89,12.0224,16.020799999999994,22.181600000000003,54.4,230.4,291.2,339.2,8464.0,18179.2,15897.6,30102.4,1.9044,28.25136,41.57664,53.5992,5.0,8.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,20.0,32.0,12.0,0.0,481.0,960.0,768.0,0.0,52.13049999999999,60.2688,142.0032,0.0
ABETAE_clean,1.0,train,5.88004,4.42278,5.88004,3.69928,1354.95,366.274,0.4221,0.1141032849635604,0.4221,0.0,0.114103,0.0,594.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.4,0.0,0.6510399999999998,1.23808,1.27896,0.0,4.0,6.4,2.4,0.0,96.2,192.0,153.6,0.0,147.47200000000004,212.0,67.416,0.0,10.426099999999998,12.05376,28.40064,0.0,0.0,0.0,0.0,0.0,0.0,5.168,8.256,10.072000000000005,0.0,24.8,41.6,47.2,0.0,464.8,784.0,924.0,0.0,-10.536,-15.776,-20.072,50.0,192.0,496.0,680.0,54.9416,243.7312,466.5976,668.7688000000003,952.0,4384.0,7600.0,10296.0,88488.0,235840.0,271872.0,442072.0,436.0880000000001,1016.7072000000004,4112.643200000003,5075.0936,1.0,7.2,10.4,13.6,2.89,12.0224,16.020799999999994,22.181600000000003,54.4,230.4,291.2,339.2,8464.0,18179.2,15897.6,30102.4,1.9044,28.25136,41.57664,53.5992,5.0,8.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,20.0,32.0,12.0,0.0,481.0,960.0,768.0,0.0,52.13049999999999,60.2688,142.0032,0.0
ACODON_clean,0.0,train,7.1439,4.65537,7.12384,1.14924,1464.87,1274.65,0.4417,0.3843409557620688,0.4417,0.0,0.384342,0.0,1502.94,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000002,1.3920000000000006,4.703999999999999,0.0,4.8,4.8,19.2,0.0,27.2,43.2,110.4,0.0,48.63999999999999,65.76000000000002,164.12587199999993,0.0,-1.864,-1.727999999999999,-1.7760000000000002,0.0,0.0,0.0,0.0,0.0,-0.0444444444444443,0.0399999999999999,0.0782222222222221,0.0,-1.0222222222222224,-1.6,-2.4888888888888894,0.0,0.1333333333333333,3.0,4.977777777777779,0.0,-4.017777777777779,-4.641422000000001,-7.184750222222223,0.0,0.4473333333333334,0.96,1.5484444444444447,0.8,3.2,4.8,9.6,0.8988800000000001,2.57792,3.91776,5.80032,12.8,32.0,57.6,76.8,180.0,312.0,432.0,504.0,500.0,784.0,1356.0,1896.8532,3.83688,19.42968,26.8056,49.932,1.0,1.3555555555555554,2.088888888888889,2.311111111111111,0.5435666666666666,0.7862511111111112,1.1053022222222222,1.2114666666666667,2.422222222222222,5.222222222222221,6.533333333333334,9.066666666666668,59.02222222222223,69.33333333333334,99.73333333333336,91.73333333333336,45.79666666666667,99.6917777777778,118.68975882222227,159.3334552888889,10.885848888888887,11.377386666666665,19.52117333333333,18.341866666666657,0.0,0.0,0.0,0.0,0.0,9.42,5.17,12.35,0.0,76.0,41.0,96.0,0.0,574.0,345.0,766.0,0.0,-21.62,-8.339999999999998,-21.17,17.0,40.0,102.0,100.0,12.3595,36.5854,65.513,60.68299999999999,170.0,576.0,584.0,240.0,5214.0,10936.0,11042.0,5784.0,146.1924,235.6492,989.2586,810.8003999999999,1.0,10.0,6.0,13.0,2.8224,12.3984,8.2488,15.943199999999996,100.0,240.0,190.0,340.0,4225.0,4940.0,2925.0,5135.0,1.2100000000000002,35.882,16.434,39.017,28.666666666666668,59.333333333333336,94.0,124.0,13.230266666666669,30.89233333333334,46.58300000000002,56.99320000000001,153.33333333333334,383.3333333333333,558.0,652.0,1015.6666666666666,2076.0,3093.333333333333,3536.0,199.8457666666667,389.8248000000001,628.8641333333331,790.958
ACOLIP_clean,1.0,test,4.91034,3.57647,4.91034,1.04949,0.0,0.0,0.2484,0.2366863905325444,0.0,0.2484,0.0,0.236687,0.0,379.52,0.0,0.0,0.0,0.0,0.0,0.0799999999999999,0.72,0.1966666666666665,0.0,-0.5,3.8333333333333335,0.0,0.0,4.333333333333334,14.0,6.833333333333334,0.0,-7.535703333333333,-1.4142199999999998,-7.921406666666668,0.0,1.3933333333333338,2.63,1.8883333333333336,0.0,0.0,0.0,0.0,0.0,-0.04,0.35,0.1399999999999999,0.0,-2.0,-1.0,-2.5,0.0,2.0,7.5,5.5,0.0,-6.9,-2.05711,-6.503555,0.0,0.9350000000000004,1.53,1.5550000000000002,1.0,2.333333333333333,4.5,2.833333333333333,0.5526333333333333,1.2423666666666666,1.97125,1.4259833333333334,6.333333333333333,18.5,22.33333333333333,17.5,54.0,88.33333333333333,131.83333333333334,99.66666666666666,45.870000000000005,170.447538,234.905228,187.59174266666668,10.1056,18.07333333333333,35.20133333333334,21.934666666666665,1.0,1.5,3.0,2.0,0.5477,0.85855,1.395,0.9896,2.5,7.5,10.0,8.0,56.5,66.0,108.5,72.5,41.425,113.565,146.53261400000002,118.376307,10.5376,12.137999999999998,25.4876,15.991999999999996,0.0,0.0,0.0,0.0,0.0,2.28,3.24,8.200000000000003,0.0,6.0,6.0,24.0,0.0,90.0,144.0,302.0,0.0,-6.360000000000001,-5.4,-12.160000000000004,11.0,20.0,28.0,36.0,7.4643000000000015,14.6236,21.0468,20.482,48.0,112.0,126.0,88.0,1342.0,2328.0,2978.0,1632.0,83.88789999999999,139.872,202.3112,299.472,1.0,4.0,6.0,12.0,1.7161000000000002,3.8776,6.052200000000001,9.851200000000002,16.0,40.0,72.0,96.0,900.0,900.0,1080.0,1740.0,2.7225,21.384,25.245,52.734,25.0,52.0,83.0,100.0,10.2945,24.6714,36.2387,38.724,135.0,334.0,475.0,486.0,656.0,1418.0,1993.0,1840.0,164.2787,346.15100000000007,550.7404,624.964
ADODII_clean,1.0,train,5.9754,5.30364,5.62846,1.21661,885.852,728.129,0.2812,0.2311340528188984,0.2812,0.0,0.231133,0.0,478.485,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.7085714285714283,0.4114285714285711,0.0,-3.142857142857143,-1.7142857142857142,-6.857142857142857,0.0,4.0,21.714285714285715,22.285714285714285,0.0,-12.000000000000002,-15.330537142857144,-29.49790285714286,0.0,1.7800000000000007,5.377142857142856,6.702857142857143,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,0.1399999999999999,0.0,-0.5,-1.5,-2.0,0.0,0.5,1.5,5.5,0.0,-1.4999999999999998,-4.500000000000001,-5.603555,0.0,0.2225000000000001,0.6675000000000003,1.5100000000000005,1.0,2.0,5.142857142857143,6.857142857142857,0.5328999999999998,1.1242,2.2233714285714283,3.353828571428572,4.0,14.285714285714286,24.0,41.142857142857146,64.0,96.0,155.42857142857142,260.57142857142856,28.09,119.78,225.714704,348.956028,11.8336,17.543999999999997,42.36114285714285,58.08685714285713,1.0,1.5,2.0,2.5,0.5478999999999998,0.8508500000000006,1.1177,1.2820500000000004,3.0,6.0,7.5,10.5,57.0,69.0,102.0,93.0,52.99000000000002,106.78500000000008,129.83,179.1451715000001,10.500825,12.590624999999992,18.70544999999999,19.21424999999999,0.0,0.0,0.0,0.0,0.0,10.48,5.52,10.239999999999998,0.0,89.0,46.0,91.0,0.0,543.0,306.0,555.0,0.0,-23.96,-8.699999999999998,-18.62,24.0,76.0,216.0,172.0,18.036000000000005,73.0572,140.53679999999991,111.63960000000004,396.0,1640.0,2320.0,1184.0,7626.0,20592.0,25602.0,15120.0,209.4482,421.2119999999997,2076.3643999999995,1328.5679999999995,1.0,11.0,7.0,11.0,2.8561,13.705900000000002,10.663899999999996,14.111499999999998,121.0,352.0,341.0,330.0,3249.0,4788.0,5301.0,4104.0,1.2100000000000002,39.666,18.04,33.792,111.0,232.0,386.0,516.0,46.43189999999996,111.3112,169.1185999999999,207.1652,618.0,1556.0,2276.0,2628.0,3128.0,6576.0,9704.0,11064.0,756.5684000000011,1555.1940000000006,2612.4422,3391.961999999998
ADODOO_clean,1.0,train,5.94431,5.3133,5.61744,1.28796,861.057,668.541,0.2793,0.2168545607006428,0.2793,0.0,0.216854,0.0,458.328,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.7085714285714283,0.4114285714285711,0.0,-3.142857142857143,-1.7142857142857142,-6.857142857142857,0.0,4.0,21.714285714285715,22.285714285714285,0.0,-12.000000000000002,-15.330537142857144,-29.49790285714286,0.0,1.7800000000000007,5.377142857142856,6.702857142857143,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,0.1399999999999999,0.0,-0.5,-1.5,-2.0,0.0,0.5,1.5,5.5,0.0,-1.4999999999999998,-4.500000000000001,-5.603555,0.0,0.2225000000000001,0.6675000000000003,1.5100000000000005,1.0,2.0,5.142857142857143,6.857142857142857,0.5328999999999998,1.1242,2.2233714285714283,3.353828571428572,4.0,14.285714285714286,24.0,41.142857142857146,64.0,96.0,155.42857142857142,260.57142857142856,28.09,119.78,225.714704,348.956028,11.8336,17.543999999999997,42.36114285714285,58.08685714285713,1.0,1.5,2.0,2.5,0.5478999999999998,0.8508500000000006,1.1177,1.2820500000000004,3.0,6.0,7.5,10.5,57.0,69.0,102.0,93.0,52.99000000000002,106.78500000000008,129.83,179.1451715000001,10.500825,12.590624999999992,18.70544999999999,19.21424999999999,0.0,0.0,0.0,0.0,0.0,10.37,5.46,10.13,0.0,89.0,46.0,91.0,0.0,609.0,342.0,621.0,0.0,-22.860000000000007,-8.1,-17.52,24.0,76.0,216.0,172.0,17.968600000000002,72.73279999999998,140.28459999999993,111.49040000000004,396.0,1640.0,2320.0,1184.0,9066.0,22608.0,27906.0,15984.0,209.9082,435.6359999999999,2082.9443999999994,1334.7359999999994,1.0,11.0,7.0,11.0,2.8224,13.6248,10.583999999999998,14.028,121.0,352.0,341.0,330.0,3969.0,5292.0,6237.0,4536.0,1.44,43.272000000000006,19.8,36.864,111.0,232.0,386.0,516.0,46.43189999999996,111.3112,169.11859999999987,207.1652,618.0,1556.0,2276.0,2628.0,3128.0,6576.0,9704.0,11064.0,756.5684000000011,1555.1940000000004,2612.4422,3391.961999999998
ADODUU_clean,1.0,train,5.9334,5.29094,5.57799,1.31573,874.856,664.919,0.2798,0.212657612124068,0.2798,0.0,0.212657,0.0,454.374,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.7085714285714283,0.4114285714285711,0.0,-3.142857142857143,-1.7142857142857142,-6.857142857142857,0.0,4.0,21.714285714285715,22.285714285714285,0.0,-12.000000000000002,-15.330537142857144,-29.49790285714286,0.0,1.7800000000000007,5.377142857142856,6.702857142857143,0.0,0.0,0.0,0.0,0.0,-0.0228571428571428,-0.0342857142857143,0.0457142857142856,0.0,-1.1428571428571428,-1.7142857142857142,-2.857142857142857,0.0,1.1428571428571428,1.7142857142857142,4.857142857142857,0.0,-3.4285714285714284,-5.142857142857144,-8.344888571428573,0.0,0.5085714285714288,0.7628571428571432,1.6257142857142863,1.0,2.0,5.142857142857143,6.857142857142857,0.5328999999999998,1.1242,2.2233714285714283,3.353828571428572,4.0,14.285714285714286,24.0,41.142857142857146,64.0,96.0,155.42857142857142,260.57142857142856,28.09,119.78,225.714704,348.956028,11.8336,17.543999999999997,42.36114285714285,58.08685714285713,1.0,1.2857142857142858,2.0,2.2857142857142856,0.5414714285714284,0.7271000000000003,1.1079714285714288,1.2144,2.142857142857143,4.714285714285714,6.0,8.571428571428571,60.0,60.0,106.28571428571428,94.28571428571428,42.318571428571424,86.68714285714289,111.89428571428572,153.70295514285712,11.072014285714284,10.954071428571424,19.519799999999982,18.498428571428565,0.0,0.0,0.0,0.0,0.0,9.46,5.46,9.22,0.0,72.0,41.0,73.0,0.0,572.0,354.0,584.0,0.0,-22.51,-8.699999999999998,-17.169999999999995,22.0,68.0,176.0,154.0,16.782799999999998,65.18679999999999,117.67739999999996,98.01540000000004,328.0,1296.0,1794.0,1012.0,9506.0,21576.0,26834.0,14208.0,196.4432,383.9819999999998,1734.5624000000005,1226.3129999999996,1.0,10.0,7.0,10.0,2.8224,12.3312,10.583999999999998,12.7344,100.0,280.0,290.0,270.0,4225.0,5070.0,6565.0,4290.0,1.2100000000000002,36.861,18.04,30.987,111.0,232.0,386.0,516.0,46.43189999999996,111.3112,169.1185999999999,207.1652,618.0,1556.0,2276.0,2628.0,3128.0,6576.0,9704.0,11064.0,756.5684000000011,1555.1940000000006,2612.4422,3391.9619999999986
