TOZFOF_clean_primitive, Anchors list: {520, 517}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {516, 519}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {520, 515}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {514, 519}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {515, 517}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {514, 516}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {518, 511}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {518, 511}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {512, 518}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {512, 518}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {520, 517}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {516, 519}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {520, 515}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {514, 519}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {515, 517}, SBU connectlist: {3} set to be ligand
TOZFOF_clean_primitive, Anchors list: {514, 516}, SBU connectlist: {2} set to be ligand
TOZFOF_clean_primitive, Anchors list: {512, 511}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {512, 511}, SBU connectlist: {0} set to be ligand
TOZFOF_clean_primitive, Anchors list: {505, 506}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {505, 506}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {501, 503}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {500, 502}, SBU connectlist: {4} set to be ligand
TOZFOF_clean_primitive, Anchors list: {498, 503}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {497, 502}, SBU connectlist: {4} set to be ligand
TOZFOF_clean_primitive, Anchors list: {498, 501}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {497, 500}, SBU connectlist: {4} set to be ligand
TOZFOF_clean_primitive, Anchors list: {505, 499}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {505, 499}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {506, 499}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {506, 499}, SBU connectlist: {5} set to be ligand
TOZFOF_clean_primitive, Anchors list: {501, 503}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {500, 502}, SBU connectlist: {4} set to be ligand
TOZFOF_clean_primitive, Anchors list: {498, 503}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {497, 502}, SBU connectlist: {4} set to be ligand
TOZFOF_clean_primitive, Anchors list: {498, 501}, SBU connectlist: {7} set to be ligand
TOZFOF_clean_primitive, Anchors list: {497, 500}, SBU connectlist: {4} set to be ligand
